City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
221,Koutiala,ML,12.3917,-5.4642,89.67,11,16,10.49,few clouds,2021-11-29 09:43:02
222,Sulangan,PH,11.1373,123.7228,83.53,76,81,6.49,broken clouds,2021-11-29 09:43:02
223,Fria,GN,10.4167,-13.5833,81.81,72,80,2.8,broken clouds,2021-11-29 09:43:03
224,Gryfice,PL,53.9165,15.2003,38.25,87,100,7.4,light rain,2021-11-29 09:43:03
225,Sayyan,YE,15.1718,44.3244,64.29,19,0,8.52,clear sky,2021-11-29 09:43:04
226,Nanortalik,GL,60.1432,-45.2371,37.58,94,100,11.99,overcast clouds,2021-11-29 09:43:04
227,Sovetskaya Gavan,RU,48.9723,140.2878,27.14,92,100,10.09,light snow,2021-11-29 09:43:05
228,Maniitsoq,GL,65.4167,-52.9,34.77,94,99,22.03,overcast clouds,2021-11-29 09:43:05
229,Paranaiba,BR,-19.6772,-51.1908,78.75,70,100,3.65,heavy intensity rain,2021-11-29 09:44:06
230,Itacarambi,BR,-15.1022,-44.0919,71.42,94,89,2.95,overcast clouds,2021-11-29 09:44:06
231,Mosetse,BW,-20.75,26.65,95.14,20,47,4.41,scattered clouds,2021-11-29 09:44:07
232,Puerto Leguizamo,CO,-0.1934,-74.7819,71.13,99,94,2.8,overcast clouds,2021-11-29 09:44:07
233,Ust-Nera,RU,64.5667,143.2,-11.36,99,100,2.82,overcast clouds,2021-11-29 09:44:07
234,Kangaatsiaq,GL,68.3065,-53.4641,33.8,93,93,22.57,overcast clouds,2021-11-29 09:44:08
235,Karymskoye,RU,51.6167,114.35,11.62,84,79,7.0,broken clouds,2021-11-29 09:44:08
236,West Wendover,US,40.7391,-114.0733,40.75,42,12,1.05,few clouds,2021-11-29 09:44:09
237,Rocha,UY,-34.4833,-54.3333,60.87,94,97,8.28,moderate rain,2021-11-29 09:44:09
238,Tonj,SS,7.2737,28.6822,100.17,29,43,2.59,scattered clouds,2021-11-29 09:44:10
239,Port Hardy,CA,50.6996,-127.4199,47.95,93,100,5.03,overcast clouds,2021-11-29 09:44:10
240,Grande Prairie,CA,55.1667,-118.8027,27.84,79,1,5.99,clear sky,2021-11-29 09:40:42
241,Anadyr,RU,64.75,177.4833,3.42,96,100,2.73,light snow,2021-11-29 09:44:11
242,Kiunga,PG,-6.1219,141.2906,76.41,96,100,2.57,overcast clouds,2021-11-29 09:44:11
243,Manasa,IN,24.4837,75.2687,78.1,28,97,8.08,overcast clouds,2021-11-29 09:44:12
244,Abeche,TD,13.8292,20.8324,95.72,11,93,11.23,overcast clouds,2021-11-29 09:44:12
245,Igrim,RU,63.1906,64.4162,18.81,97,97,2.01,light snow,2021-11-29 09:44:12
246,Qasigiannguit,GL,68.8193,-51.1922,30.94,96,100,6.67,light snow,2021-11-29 09:44:13
247,Tra Vinh,VN,9.9347,106.3453,76.59,92,100,9.8,overcast clouds,2021-11-29 09:44:13
248,Belaya Gora,RU,68.5333,146.4167,-14.33,99,100,2.82,overcast clouds,2021-11-29 09:44:14
